"id","id_ex","siret","rup_mi","gestion","date_creat","date_decla","date_publi","date_disso","groupement","objet","adrs_libvoie","adrs_codepostal","adrs_libcommune","siteweb","position","objet_cat","objet_list","nom","annee_creat","membres","benefices"
"W033000959","0033007317","","","635S","2002-09-11","2012-03-30","2002-09-28","0001-01-01","S","Echange de savoirs et de connaissances.","Chez Mme LEBRATI Reine  ","63290","Lachaux","","A","002","['002015', '000000']","ZANKE","2002",200,29384
"W032001345","0032005206","","","032P","2003-07-02","2005-02-02","1901-07-01","0001-01-01","S","Promotion du bien être pour les personnes qui en ont besoin et l'aide technique à la réalisation de ces besoins","","03210","Souvigny","","A","006","['006000', '000000']","PI ASSOCIATION TRANSFEREE A PARIS","2003",121,22302
"W031003191","","","","031S","2017-11-14","2017-11-14","2017-11-25","0001-01-01","S","susciter le don volontaire et bénévole du sang","Mairie 1 PL de la Mairie","03350","Cérilly","","A","017","['017065', '000000']","AMICALE DES DONNEURS DE SANG DE CER...","2017",163,4315
"W032000751","0032001681","","","032P","1968-10-29","2021-11-07","1968-11-16","0001-01-01","S","Cantine","8   RUE DES VARENNES","03140","Saint-Germain-de-Salles","","A","022","['022510', '000000']","CANTINE SCOLAIRE DE SAINT GERMAIN D...","1968",41,12328
"W032003451","","","","032P","2017-09-17","2017-09-17","2017-09-30","0001-01-01","S","animer des spectacles musicaux","LA COUR EN CHEVRAY","03230","Chézy","","A","006","['006030', '000000']","TAPATA BLUES","2017",28,15168
"W033002263","0033005917","","","033S","1993-10-21","1993-10-21","1993-12-08","0001-01-01","S","Aider les demandeurs d'emploi, les précaires et les rmistes dans leurs démarches administratives...","2 RUE d'Oran","03200","Vichy","","A","019","['019040', '019040']","PARTAGE","1993",14,5191
"W033003891","","","","033S","2017-08-23","2023-01-06","2017-09-02","0001-01-01","S","l'organisation de courses de tracteurs tondeuses et différentes manifestations","LD la Molette","03150","Sanssat","","A","006","['006000', '000000']","LES FOUS DU GAZON","2017",189,25271
"W032000995","0032005339","","","032P","2004-08-02","2012-02-28","2004-08-21","2012-01-13","S","Rassembler les membres actifs et retraités de la maison de retraite de Chantelle...","18 PL de la Chaume","03140","Chantelle","","D","014","['014030', '000000']","AMICALE DE LA MAISON DE RETRAITE DE...","2004",41,3435
"W031003290","","","","031S","2018-10-08","2022-09-02","2018-10-20","0001-01-01","S","valoriser les évènements festifs","Mairie 8 RUE de l Eglise","03410","Prémilhat","","A","006","['006100', '000000']","C'PARTY","2018",17,10097
"W031002416","","","","031S","2012-08-29","2012-08-29","2012-09-08","0001-01-01","S","entretenir des liens d'amitié ; organiser des activités festives ou culturelles ; engager si nécessaire des actions solidaires d'aide aux personnes","mairie 6 PL de la Toque","03380","Huriel","","A","014","['014080', '000000']","AMICALE DES CLASSES 55 A 59","2012",143,10675
