,id,date_creat,date_decla,date_publi,date_disso,groupement,objet,adrs_libvoie,adrs_codepostal,adrs_libcommune,position,objet_cat,nom,annee_creat,membres,benefices,code_parent,libelle_parent
0,W032001345,2003-07-02,2005-02-02,1901-07-01,0001-01-01,S,Promotion du bien être pour les personnes qui en ont besoin et l'aide technique à la réalisation de ces besoins,,3210,Souvigny,A,6,PI ASSOCIATION TRANSFEREE A PARIS,2003,121,22302,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
1,W031003191,2017-11-14,2017-11-14,2017-11-25,0001-01-01,S,susciter le don volontaire et bénévole du sang,Mairie 1 PL de la Mairie,3350,Cérilly,A,17,AMICALE DES DONNEURS DE SANG DE CER...,2017,163,4315,17,SANTÉ
2,W032000751,1968-10-29,2021-11-07,1968-11-16,0001-01-01,S,Cantine,8   RUE DES VARENNES,3140,Saint-Germain-de-Salles,A,22,CANTINE SCOLAIRE DE SAINT GERMAIN D...,1968,41,12328,22,CONDUITE D'ACTIVITÉS ÉCONOMIQUES
3,W032003451,2017-09-17,2017-09-17,2017-09-30,0001-01-01,S,animer des spectacles musicaux,LA COUR EN CHEVRAY,3230,Chézy,A,6,TAPATA BLUES,2017,28,15168,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
4,W033002263,1993-10-21,1993-10-21,1993-12-08,0001-01-01,S,"Aider les demandeurs d'emploi, les précaires et les rmistes dans leurs démarches administratives...",2 RUE d'Oran,3200,Vichy,A,19,PARTAGE,1993,14,5191,19,INTERVENTIONS SOCIALES
5,W033003891,2017-08-23,2023-01-06,2017-09-02,0001-01-01,S,l'organisation de courses de tracteurs tondeuses et différentes manifestations,LD la Molette,3150,Sanssat,A,6,LES FOUS DU GAZON,2017,189,25271,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
6,W032000995,2004-08-02,2012-02-28,2004-08-21,2012-01-13,S,Rassembler les membres actifs et retraités de la maison de retraite de Chantelle...,18 PL de la Chaume,3140,Chantelle,D,14,AMICALE DE LA MAISON DE RETRAITE DE...,2004,41,3435,14,"AMICALES, GROUPEMENTS AFFINITAIRES, GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX)"
7,W031003290,2018-10-08,2022-09-02,2018-10-20,0001-01-01,S,valoriser les évènements festifs,Mairie 8 RUE de l Eglise,3410,Prémilhat,A,6,C'PARTY,2018,17,10097,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
8,W031002416,2012-08-29,2012-08-29,2012-09-08,0001-01-01,S,entretenir des liens d'amitié ; organiser des activités festives ou culturelles ; engager si nécessaire des actions solidaires d'aide aux personnes,mairie 6 PL de la Toque,3380,Huriel,A,14,AMICALE DES CLASSES 55 A 59,2012,143,10675,14,"AMICALES, GROUPEMENTS AFFINITAIRES, GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX)"
9,W032001128,2004-06-03,2004-06-03,2004-07-03,0001-01-01,S,promouvoir parmi ses adhérents ainsi que ds le public la connaissance de la nature et de la necessité de sa sauvegarde,,3210,Saint-Menoux,A,24,CONNAITRE ET PARTAGER LA NATURE LA ...,2004,117,18362,24,"ENVIRONNEMENT,  CADRE DE VIE"
10,W031000955,2008-01-22,2008-01-22,0001-01-01,2009-01-22,S,soutenir la liste d'union de gauche aux municipales de lavault-sainte-anne 2008 et oeuvrer pour renforcer la justice sociale et la participation démocratique de tous les lavaultois,33 RUE de la Côte du Theil,3100,Lavault-Sainte-Anne,A,1,LAVAULT 2008,2008,192,21549,1,ACTIVITÉS POLITIQUES
11,W032002820,1999-11-26,2013-05-14,1999-12-25,2013-04-18,S,groupement d'employeurs,LD Le Marquisat,3500,Paray-sous-Briailles,D,14,GROUPEMENT D'EMPLOYEURS DU MARQUISAT,1999,193,4856,14,"AMICALES, GROUPEMENTS AFFINITAIRES, GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX)"
12,W033001464,1998-05-18,1998-05-18,1998-06-13,0001-01-01,S,"Association d'ophtalmologie ayant pour but la formation medico chirurgicale continue, la recherche et l'enseignement en ophtalmologie",127   BD Etats Unis,3200,Vichy,A,17,OPHTALMOLOGIE CENTRE EUROPE ET FRAN...,1998,114,16165,17,SANTÉ
13,W032002037,1926-06-28,2019-08-27,1926-07-08,0001-01-01,S,Peche,mairie 31 la Grande Rue,3140,Voussac,A,13,"AAPPMA  \""LA GAULE DU VENANT\"" VOUSSAC",1926,181,14974,13,CHASSE PÊCHE
14,W033003363,2013-09-16,2013-09-16,2013-11-02,0001-01-01,S,organisation d'animation et mise en oeuvre de tournois et/ou de rencontres amicales au sein du Bowling Sud Allier de Cusset,4 RUE Ampère,3300,Cusset,A,11,AMICALE DE BOWLING DE CUSSET,2013,187,14115,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
15,W031002640,2014-05-19,2014-12-12,2014-05-31,0001-01-01,S,promouvoir la culture dans le milieu rural ainsi que la création chorégraphique,11 RTE de Paris,3190,Reugny,A,6,C'KAFEJ,2014,152,8278,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
16,W032001690,1993-02-18,2005-06-28,1993-03-17,0001-01-01,S,Mise en forme et bon deroulement des activites necessaires au bien etre des residents,,3290,Dompierre-sur-Besbre,A,21,LE HAVRE D'AUTOMNE,1993,165,5505,21,"SERVICES FAMILIAUX, SERVICES AUX PERSONNES ÂGÉES"
17,W033007217,2019-04-02,2021-06-04,2019-04-13,2021-02-24,S,"accompagner dans la parentalité en mettant en place des ateliers pratiques, des temps de rencontres et d'échanges autour de réunion d'informations",17 CHEM1 de Lafont,3300,Cusset,D,7,ADDN,2019,39,23108,7,"CLUBS DE LOISIRS, RELATIONS"
18,W032003382,2017-02-27,2020-02-19,2017-03-11,0001-01-01,S,"développer la pratique et la connaissance de la pétanque en vue de compétitions chez les jeunes enfants, adolescents et adultes dans le cadre de rencontres et d'échanges",mairie PL du Général Hoche,3240,Le    Montet,A,11,ECOLE DE PETANQUE LE MONTET,2017,125,2273,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
19,W033000182,1989-01-13,2017-10-12,1989-02-22,2017-09-20,S,promouvoir en toute neutralité et en toute independance la vie culturelle de la cité,Centre Eric Tabarly B RUE du Champ d'Auger,3300,Cusset,D,6,LES PEINTRES ET SCULPTEURS DE LA TOUR,1989,28,12887,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
20,W031000908,2003-11-24,2023-01-17,2003-12-20,0001-01-01,S,Dynamiser et développer la pratique sportive ; développer l'apprentissage de la vie associative,Collège François Rabelais,3310,Néris-les-Bains,A,11,ASSOCIATION SPORTIVE COLLEGE NERIS-...,2003,170,18528,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
21,W032001807,1927-02-08,2016-11-09,1927-02-24,0001-01-01,S,Tennis,Mairie PL de l'Hôtel de Ville,3160,Bourbon-l'Archambault,A,11,TENNIS CLUB BOURBONNAIS,1927,195,18381,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
22,W033003594,2015-05-06,2015-05-06,2015-05-16,0001-01-01,S,"proposer et réaliser des évènements privés ou publiques pour cibles diverses (particuliers, entreprises, comités des fêtes...)",17 RUE de la Mairie,3300,Creuzier-le-Vieux,A,6,ASSOCIATION DES ANCIENNES SONO DE V...,2015,133,16903,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
23,W032000820,1980-03-03,2019-12-18,1980-03-09,0001-01-01,S,Organisation et animation des festivités de la commune,Mairie,3000,Bressolles,A,9,COMITE DES FETES DE BRESSOLLES,1980,83,4529,9,ACTION SOCIOCULTURELLE
24,W033000867,2003-03-10,2018-04-11,2003-04-26,0001-01-01,S,Organiser la défense des intérêts des résidents sur toutes les questions concernant les problèmes de l'habitat et de l'urbanisme.,  Bât. E - n° 56 - HLM Clair Matin - 2ème,3120,Lapalisse,A,14,AMICALE CNL DES LOCATAIRES CLAIR MA...,2003,41,14509,14,"AMICALES, GROUPEMENTS AFFINITAIRES, GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX)"
